class_name,name,description,category,stack_size,sink_points,energy_value_mj,radioactive_decay,can_be_discarded,is_fluid,form
Desc_Stone_C,Limestone,Used for crafting. A basic resource primarily used for stable Foundations.,,100,2,0.0,0.0,,False,
Desc_LiquidBiofuel_C,Liquid Biofuel,"Liquid Biofuel can be used as-is to generate power, or packaged to be used as fuel for vehicles.",,50000,261000,750.0,0.0,,True,
Desc_SpaceElevatorPart_6_C,Magnetic Field Generator,Project Part #7. Ship via the Space Elevator to complete phases of Project Assembly.  These modular generators use superconducting magnets and vast amounts of electricity to produce a powerful and easily expandable magnetic field.,,50,11000,0.0,0.0,,False,
Desc_Medkit_C,Medicinal Inhaler,Fully restores health when used.  The FICSIT Medicinal Inhaler can be produced from a variety of different ingredients.,,50,125,0.0,0.0,,False,
Desc_WAT2_C,Mercer Sphere,"A weird alien phenomenon. While the sphere appears liquid, it behaves like a solid and does not have any detectable mass. It seems to somehow interact with and have awareness of its environment.",,50,0,0.0,0.0,,False,
Desc_SpaceElevatorPart_4_C,Modular Engine,Project Part #4. Ship via the Space Elevator to complete phases of Project Assembly.,,50,9960,0.0,0.0,,False,
Desc_ModularFrame_C,Modular Frame,Used for crafting. A multipurpose building block.,,50,408,0.0,0.0,,False,
Desc_Motor_C,Motor,Creates a mechanical force that is used to move things from machines to vehicles.,,50,1520,0.0,0.0,,False,
Desc_Mycelia_C,Mycelia,Used for crafting. Biomass Burners and vehicles can also use Mycelia for power.,,200,10,20.0,0.0,,False,
Desc_TemporalProcessor_C,Neural-Quantum Processor,The Neural-Quantum Processor utilizes a combination of neural network architecture and quantum computing techniques to achieve unprecedented performance. This technology has enabled some of FICSIT's biggest advancements in artificial intelligence and relativistic engineering.,,100,248034,0.0,0.0,,False,
Desc_NitricAcid_C,Nitric Acid,Produced when Nitrogen Gas reacts with Water. Its high corrosiveness and oxidizing properties make it an excellent choice for refinement and fuel production processes.,,50000,94000,0.0,0.0,,True,
Desc_NitrogenGas_C,Nitrogen Gas,"Has a variety of uses, including metallurgy, cooling, and Nitric Acid production. On MASSAGE-2 (AB)b, it can be extracted from underground gas wells.",,50000,10000,0.0,0.0,,True,
Desc_NobeliskExplosive_C,Nobelisk,"A simple explosive, useful for clearing boulders, vegetation, and other obstacles.",,50,152,0.0,0.0,,False,
BP_EquipmentDescriptorNobeliskDetonator_C,Nobelisk Detonator,A remote-control device used to handle and detonate Nobelisks.,,1,6480,0.0,0.0,,False,
Desc_NonFissibleUranium_C,Non-Fissile Uranium,"The Uranium-238 isotope is non-fissile, meaning it cannot be used for nuclear fission. It can, however, be converted into fissile Plutonium in the Particle Accelerator.  Caution: Mildly Radioactive.",,500,0,0.0,0.75,,False,
Desc_SpaceElevatorPart_9_C,Nuclear Pasta,"Project Part #9. Ship via the Space Elevator to complete phases of Project Assembly. Power Usage: 500-1500 MW (1000 MW average).  Nuclear Pasta is extremely dense degenerate matter, formed when extreme pressure forces protons and electrons together into neutrons. It is theorized to exist naturally within the crust of neutron stars.",,50,538976,0.0,0.0,,False,
Desc_NobeliskNuke_C,Nuke Nobelisk,Uses a nuclear fission reaction to generate a massive explosion. WARNING: Ensure all FICSIT property is clear of the blast zone before detonation.,,50,19600,0.0,0.0,,False,
BP_EquipmentDescriptorObjectScanner_C,Object Scanner,Scans the area for a selected item. Beeps at a rate proportional to proximity and direction.,,1,1400,0.0,0.0,,False,
Desc_PackagedAlumina_C,Packaged Alumina Solution,"Alumina Solution, packaged for alternative transport.",,100,160,0.0,0.0,,False,
Desc_Fuel_C,Packaged Fuel,"Fuel, packaged for alternative transport. Can be used as fuel for vehicles and the Jetpack.",,100,270,750.0,0.0,,False,
Desc_PackagedOilResidue_C,Packaged Heavy Oil Residue,"Heavy Oil Residue, packaged for alternative transport. Can be used as fuel for vehicles.",,100,180,400.0,0.0,,False,
Desc_PackagedIonizedFuel_C,Packaged Ionized Fuel,"Ionized Fuel, packaged for alternative transport. Can be used as fuel for vehicles and the Jetpack.",,100,5246,10000.0,0.0,,False,
Desc_PackagedBiofuel_C,Packaged Liquid Biofuel,"Liquid Biofuel, packaged for alternative transport. Can be used as fuel for vehicles and the Jetpack.",,100,370,750.0,0.0,,False,
Desc_PackagedNitricAcid_C,Packaged Nitric Acid,"Nitric Acid, packaged for alternative transport.",,100,412,0.0,0.0,,False,
Desc_PackagedNitrogenGas_C,Packaged Nitrogen Gas,"Nitrogen Gas, packaged for alternative transport.",,100,312,0.0,0.0,,False,
Desc_PackagedOil_C,Packaged Oil,"Crude Oil, packaged for alternative transport. Can be used as fuel for vehicles.",,100,180,320.0,0.0,,False,
Desc_PackagedRocketFuel_C,Packaged Rocket Fuel,"Rocket Fuel, packaged for alternative transport. Can be used as fuel for vehicles and the Jetpack.",,100,1028,7200.0,0.0,,False,
Desc_PackagedSulfuricAcid_C,Packaged Sulfuric Acid,"Sulfuric Acid, packaged for alternative transport.",,100,152,0.0,0.0,,False,
Desc_TurboFuel_C,Packaged Turbofuel,"Turbofuel, packaged for alternative transport. Can be used as fuel for vehicles and the Jetpack.",,100,570,2000.0,0.0,,False,
Desc_PackagedWater_C,Packaged Water,"Water, packaged for alternative transport.",,100,130,0.0,0.0,,False,
Desc_Berry_C,Paleberry,Consumable  Eat to restore 1 health segment.,,50,0,0.0,0.0,,False,
Desc_Parachute_C,Parachute,Slows down your fall when activated in mid-air.,,1,6080,0.0,0.0,,False,
Desc_PetroleumCoke_C,Petroleum Coke,Used for crafting. A carbon-rich material distilled from Heavy Oil Residue.  Used as a less efficient Coal replacement.,,200,20,180.0,0.0,,False,
Desc_Plastic_C,Plastic,"Versatile and easy to manufacture, this material has a wide range of uses.",,200,75,0.0,0.0,,False,
Desc_PlutoniumFuelRod_C,Plutonium Fuel Rod,Used as fuel for Nuclear Power Plants.  Caution: Produces radioactive Plutonium Waste when consumed. Caution: HIGHLY Radioactive.,,50,153184,1500000.0,250.0,,False,
Desc_PlutoniumPellet_C,Plutonium Pellet,Produced in the Particle Accelerator through conversion of Non-fissile Uranium. Used to produce Encased Plutonium Cells for Plutonium Fuel Rods.  Power Usage: 250-750 MW (500 MW average). Caution: Moderately Radioactive.,,100,0,0.0,20.0,,False,
Desc_PlutoniumWaste_C,Plutonium Waste,The by-product of consuming Plutonium Fuel Rods in a Nuclear Power Plant. Must be stored in a safe location. Handle with caution.  Caution: EXTREMELY Radioactive.,,500,0,0.0,200.0,,False,
Desc_PolymerResin_C,Polymer Resin,A by-product of Crude Oil refinement into Fuel. Commonly used to manufacture Plastic and Rubber.,,200,12,0.0,0.0,,False,
BP_ItemDescriptorPortableMiner_C,Portable Miner,Automatically extracts a resource when placed on a resource node. Note: Has limited storage space.,,50,56,0.0,0.0,,False,
special__power,Power,Power,,1,0,0,0,,False,
Desc_CrystalShard_C,Power Shard,Power Slug mucus compressed into a solid crystal-like shard.  It radiates a strange power.,,100,0,0.0,0.0,,False,
Desc_PressureConversionCube_C,Pressure Conversion Cube,"Converts outgoing force into internal pressure. Required to contain unstable, high-energy matter.",,50,255088,0.0,0.0,,False,
Desc_NobeliskShockwave_C,Pulse Nobelisk,Generates a powerful shockwave instead of a regular explosion.,,50,1533,0.0,0.0,,False,
Desc_Crystal_mk3_C,Purple Power Slug,A strange slug radiating a powerful unknown power.,,50,0,0.0,0.0,,False,
Desc_QuartzCrystal_C,Quartz Crystal,Derived from Raw Quartz. Used in the production of advanced radar technology and high-quality display screens.,,200,50,0.0,0.0,,False,
Desc_HighSpeedWire_C,Quickwire,"Caterium's high conductivity and resistance to corrosion make it ideal for small, advanced electronics.",,500,17,0.0,0.0,,False,
Desc_ModularFrameLightweight_C,Radio Control Unit,Enhances and directs radio signals.,,50,32352,0.0,0.0,,False,
Desc_RawQuartz_C,Raw Quartz,"Can be processed into Quartz Crystals and Silica, which both offer a variety of applications.",,100,15,0.0,0.0,,False,
Desc_SAMIngot_C,Reanimated SAM,"The active and contained form of the Strange Alien Matter.  Proper electromagnetic containment is required, as it appears to be able to manipulate the atomic bonds of any matter it comes into contact with.",,100,160,0.0,0.0,,False,
Desc_RebarGunProjectile_C,Rebar Gun,An improvised ranged weapon for self-defense. Has to be reloaded after each use.,,1,1968,0.0,0.0,,False,
Desc_IronPlateReinforced_C,Reinforced Iron Plate,Used for crafting. A sturdier and more durable Iron Plate.,,100,120,0.0,0.0,,False,
BP_EquipmentDescriptorRifle_C,Rifle,"A long-range, rapid-fire weapon. Specifically designed to deliver adequate performance within the designated work area.",,1,9480,0.0,0.0,,False,
Desc_CartridgeStandard_C,Rifle Ammo,"Standard issue Rifle ammunition, useful for establishing dominance.",,500,25,0.0,0.0,,False,
Desc_RocketFuel_C,Rocket Fuel,"A high-impulse compressed gas fuel. Can be used as-is to power Fuel-Powered Generators, or packaged to be used as fuel for vehicles or the Jetpack.",,50000,289000,3600.0,0.0,,True,
Desc_Rotor_C,Rotor,Used for crafting. The moving parts of a motor.,,100,140,0.0,0.0,,False,
Desc_Rubber_C,Rubber,A very flexible material that has a lot of friction.,,200,60,0.0,0.0,,False,
Desc_SAM_C,SAM,"Strange Alien Matter, commonly referred to as SAM, doesn't seem to follow the known laws of physics. It whispers of new possibilities.",,100,20,0.0,0.0,,False,
Desc_SAMFluctuator_C,SAM Fluctuator,The SAM Fluctuator is able to regulate and direct the behavior of Reanimated SAM through the application of electric charges with varying frequencies. This control facilitates technologies such as matter-to-energy conversion and spatiotemporal matter manipulation.,,100,1968,0.0,0.0,,False,
Desc_IronScrew_C,Screws,Used for crafting. One of the most basic parts.,,500,2,0.0,0.0,,False,
Desc_Rebar_Spreadshot_C,Shatter Rebar,"Fractures when shot, launching deadly debris with wide spread but limited range.",,100,332,0.0,0.0,,False,
Desc_Silica_C,Silica,"Derived from Raw Quartz. Commonly used to create glass structures, in advanced refinement processes, and for alternative production of electronics.",,200,20,0.0,0.0,,False,
Desc_SingularityCell_C,Singularity Cell,Used to break down space and time. Required to power Portals.,,50,114675,0.0,0.0,,False,
special__sinkPoint,Sink point,"A special FICSIT bonus program Coupon, obtained through the AWESOME Sink. Can be redeemed in the AWESOME Shop for bonus milestones and rewards",,500,0,0,0,,False,
Desc_SpaceElevatorPart_1_C,Smart Plating,Project Part #1. Ship via the Space Elevator to complete phases of Project Assembly.,,50,520,0.0,0.0,,False,
Desc_GunpowderMK2_C,Smokeless Powder,An explosive powder that is commonly used to produce modern firearms.,,100,58,0.0,0.0,,False,
Desc_Biofuel_C,Solid Biofuel,The most energy-efficient form of solid Biomass. Can be used as fuel for the Chainsaw.,,200,48,450.0,0.0,,False,
Desc_WAT1_C,Somersloop,"An odd alien object with a mind-bending, yet somehow familiar shape. It emits an unsettling energy.",,50,0,0.0,0.0,,False,
Desc_SpitterParts_C,Spitter Remains,The remains of a plasma-spitting alien creature. Used for MAM research.,,50,0,0.0,0.0,,False,
Desc_Stator_C,Stator,Used for crafting. The static parts of a motor.,,100,240,0.0,0.0,,False,
Desc_SteelPlate_C,Steel Beam,Primarily used when constructing slightly more advanced buildings.,,200,64,0.0,0.0,,False,
Desc_SteelIngot_C,Steel Ingot,Smelted from a combination of Iron Ore and Coal. Can be made into several parts used in building construction.,,100,8,0.0,0.0,,False,
Desc_SteelPipe_C,Steel Pipe,Primarily used when constructing slightly more advanced buildings.,,200,24,0.0,0.0,,False,
Desc_StingerParts_C,Stinger Remains,The remains of whatever that creepy thing was. Used for MAM research.,,50,0,0.0,0.0,,False,
Desc_Rebar_Stunshot_C,Stun Rebar,"Electrocutes the target on impact, stunning it for a short time.  Stun Duration: 5 seconds",,100,186,0.0,0.0,,False,
Desc_Sulfur_C,Sulfur,Primarily used to produce Black Powder.,,100,11,0.0,0.0,,False,
Desc_SulfuricAcid_C,Sulfuric Acid,Produced by combining Sulfur and Water in a complex reaction. Primarily used in refinement processes and Battery production.,,50000,16000,0.0,0.0,,True,
Desc_ComputerSuper_C,Supercomputer,The next-gen version of a Computer.,,50,97352,0.0,0.0,,False,
Desc_QuantumOscillator_C,Superposition Oscillator,An oscillator circuit that uses the mechanical resonance of a vibrating crystal to create a string vibration with a precise frequency. Often used in teleportation technology and dimensional manipulation.,,100,37292,0.0,0.0,,False,
Desc_SpaceElevatorPart_8_C,Thermal Propulsion Rocket,Project Part #8. Ship via the Space Elevator to complete phases of Project Assembly.  Uses extreme heat to produce the high-pressure plasma required to get Project Assembly into motion.,,50,728508,0.0,0.0,,False,
Desc_TimeCrystal_C,Time Crystal,Time Crystals are Diamonds that have been reconfigured on a sub-atomic level in the Converter to retain a time-periodic self-organizing structure. This allows them to be used in the development of quantum processing and storage technologies.,,200,960,0.0,0.0,,False,
Desc_MotorLightweight_C,Turbo Motor,A more complex and powerful version of the regular Motor.,,50,240496,0.0,0.0,,False,
Desc_CartridgeChaos_C,Turbo Rifle Ammo,"Lightweight, compact, and volatile. These rounds provide extreme capacity and rate of fire at the cost of accuracy.",,500,120,0.0,0.0,,False,
Desc_LiquidTurboFuel_C,Turbofuel,"A more efficient alternative to Fuel. Can be used as-is to generate power, or packaged to be used as fuel for vehicles.",,50000,225000,2000.0,0.0,,True,
Desc_OreUranium_C,Uranium,A radioactive element.  Used to produce Encased Uranium Cells for Uranium Fuel Rods.  Caution: Moderately Radioactive.,,100,35,0.0,15.0,,False,
Desc_NuclearFuelRod_C,Uranium Fuel Rod,Used as fuel for Nuclear Power Plants.  Caution: Produces radioactive Uranium Waste when consumed. Caution: Moderately Radioactive.,,50,43468,750000.0,50.0,,False,
Desc_NuclearWaste_C,Uranium Waste,The by-product of consuming Uranium Fuel Rods in a Nuclear Power Plant. Non-Fissile Uranium can be extracted. Handle with caution.  Caution: HIGHLY Radioactive.,,500,0,0.0,10.0,,False,
Desc_SpaceElevatorPart_2_C,Versatile Framework,Project Part #2. Ship via the Space Elevator to complete phases of Project Assembly.,,50,1176,0.0,0.0,,False,
Desc_Water_C,Water,It's water.,,50000,5000,0.0,0.0,,True,
Desc_Wire_C,Wire,Used for crafting. One of the most basic parts.,,500,6,0.0,0.0,,False,
Desc_Wood_C,Wood,Primarily used as fuel. Biomass Burners and vehicles can use Wood for power.,,200,30,100.0,0.0,,False,
BP_EquipmentDescriptorStunSpear_C,Xeno-Basher,A heavy self-defense electroshock melee weapon.,,1,17800,0.0,0.0,,False,
BP_EquipmentDescriptorShockShank_C,Xeno-Zapper,A standard issue self-defense electroshock melee weapon.,,1,1880,0.0,0.0,,False,
Desc_Crystal_mk2_C,Yellow Power Slug,A strange slug radiating an unknown power.,,50,0,0.0,0.0,,False,
BP_EqDescZipLine_C,Zipline,Provides faster traversal of factories by allowing pioneers to zip along Power lines. Activate the Zipline and aim at a nearby Power Line to connect to it.,,1,5284,0.0,0.0,,False,
